nominal_formula,volume_per_atom,C11,C12,C44,B,Gv,GR,G,E,v,Hv,"AV,R",KIC,G/B,bulk_energy,force,real_formula,bulk_energy,volume,error1,error2,error3
CrMoTaTiV,19.74531,525.643,173.505,173.844,290.8843,174.734,174.7272,174.7306,436.7431,0.249761,19.93924,0.0000194,370.6426,0.600688,-19.5863,0.008875,Cr7Mo6Ta6Ti7V6C32,-626.76,631.85,1.00%,1.48%,0.18%
CrMoTaTiW,20.36844,574.978,147.791,159.054,290.1867,180.8698,177.1473,179.0085,445.4335,0.244168,20.90623,0.010398,376.6476,0.616874,-20.1277,0.027582,Cr7Mo6Ta6Ti7W6C32,-644.087,651.79,1.82%,1.74%,0.39%
CrMoTaTiZr,21.28344,501.321,137.523,153.212,258.789,164.6868,163.5279,164.1073,406.4147,0.238259,20.28522,0.003531,343.0656,0.634136,-19.5887,0.018089,Cr7Mo6Ta6Ti7Zr6C32,-626.837,681.07,1.86%,1.61%,0.16%
CrMoTaVW,19.98281,554.863,153.335,140.282,287.1777,164.4748,159.5027,161.9887,409.0542,0.262601,17.59422,0.015347,355.2989,0.564071,-20.1116,0.048201,Cr7Mo6Ta6V7W6C32,-643.57,639.45,2.18%,1.74%,0.11%
CrMoTaVZr,20.83031,375.295,202.459,143.371,260.071,120.5898,113.4609,117.0253,305.2857,0.304357,10.80948,0.030459,289.38,0.449975,-19.5933,0.026925,Cr7Mo6Ta6V7Zr6C32,-626.987,666.57,3.59%,1.90%,0.28%
CrMoTaWZr,21.56219,448.051,166.588,130.937,260.409,134.8548,134.6865,134.7707,344.8256,0.279305,14.00523,0.000624,312.5416,0.517535,-20.244,0.009982,Cr7Mo6Ta6W7Zr6C32,-647.81,689.99,1.49%,1.76%,0.29%
CrMoTiVW,19.36688,614.144,78.538,149.993,257.0733,197.117,182.0226,189.5698,456.4995,0.204041,26.67087,0.039812,361.7621,0.737415,-19.5406,0.046341,Cr7Mo6Ti6V7W6C32,-625.3,619.74,1.75%,4.19%,0.29%
CrMoTiVZr,20.35438,454.052,141.784,130.508,245.8733,140.7584,139.678,140.2182,353.463,0.260403,16.08434,0.003852,306.8086,0.570286,-18.962,0.020956,Cr7Mo6Ti6V7Zr6C32,-606.784,651.34,2.02%,2.08%,0.79%
CrMoTiWZr,21.04844,475.039,145.557,139.946,255.3843,149.864,148.911,149.3875,375.0364,0.255247,17.31481,0.00319,324.5569,0.584952,-19.6288,0.03405,Cr7Mo6Ti6W7Zr6C32,-628.122,673.55,1.92%,1.80%,0.17%
CrMoVWZr,20.81344,426.541,144.723,125.831,238.6623,131.8622,131.4577,131.6599,333.6299,0.267014,14.81288,0.001536,293.9969,0.551658,-19.6388,0.03729,Cr7Mo6V6W7Zr6C32,-628.443,666.03,2.72%,2.60%,0.25%
CrNbTaTiV,20.20125,558.789,124.302,163.453,269.131,184.9692,181.4213,183.1953,447.9477,0.222596,23.76817,0.009683,366.4393,0.680692,-19.647,0.017329,Cr7Nb6Ta6Ti7V6C32,-628.702,646.44,1.77%,1.55%,0.49%
CrNbTaTiW,20.71844,619.895,120.616,159.233,287.0423,195.3956,186.2068,190.8012,468.5797,0.227926,23.81088,0.02408,387.8434,0.664714,-20.2117,0.031762,Cr7Nb6Ta6Ti7W6C32,-646.774,662.99,3.22%,1.56%,0.09%
CrNbTaTiZr,21.68563,561.053,108.66,155.793,259.4577,183.9544,177.9474,180.9509,440.458,0.217065,24.2211,0.016598,361.8336,0.69742,-19.6766,0.035445,Cr7Nb6Ta6Ti7Zr6C32,-629.651,693.94,4.12%,2.08%,0.10%
CrNbTaVW,20.31281,583.809,142.362,150.243,289.511,178.4352,172.243,175.3391,437.6622,0.248045,20.17581,0.017658,372.1633,0.605639,-20.2095,0.045576,Cr7Nb6Ta6V7W6C32,-646.705,650.01,1.57%,1.71%,0.08%
CrNbTaVZr,21.23156,473.358,143.831,151.226,253.6733,156.641,156.365,156.503,389.4243,0.244143,19.01173,0.000882,331.5602,0.616947,-19.6922,0.029399,Cr7Nb6Ta6V7Zr6C32,-630.151,679.41,1.94%,1.77%,0.22%
CrNbTaWZr,21.83594,520.235,143.976,145.202,269.3957,162.373,159.786,161.0795,402.9306,0.250719,18.72505,0.00803,348.2657,0.597929,-20.3613,0.036735,Cr7Nb6Ta6W7Zr6C32,-651.561,698.75,1.90%,1.66%,0.19%
CrNbTiVW,19.77531,589.787,124.533,161.149,279.6177,189.7402,183.7305,186.7354,458.2058,0.226885,23.57528,0.016091,375.7649,0.667824,-19.6202,0.039323,Cr7Nb6Ti6V7W6C32,-627.848,632.81,1.55%,1.57%,0.17%
CrNbTiVZr,20.78125,488.796,116.832,149.457,240.82,164.067,162.1987,163.1328,399.2476,0.223689,21.7742,0.005726,328.6464,0.677406,-19.0391,0.018544,Cr7Nb6Ti6V7Zr6C32,-609.251,665,1.94%,1.94%,2.43%
CrNbTiWZr,21.465,498.444,120.768,129.928,246.66,153.492,148.4525,150.9723,376.1698,0.245824,18.36694,0.01669,321.7015,0.612066,-19.7366,0.029173,Cr7Nb6Ti6W7Zr6C32,-631.571,686.88,1.73%,1.54%,4.05%
CrNbVWZr,21.08438,487.644,136.568,137.551,253.5933,152.7458,150.5859,151.6659,379.3683,0.250671,17.94821,0.007121,325.9665,0.598067,-19.7438,0.018678,Cr7Nb6V6W7Zr6C32,-631.8,674.7,1.88%,1.92%,0.55%
CrTaTiVW,19.79031,560.607,145.74,163.827,284.029,181.2696,178.8676,180.0686,445.9621,0.238312,21.65696,0.00667,371.9425,0.63398,-19.941,0.020005,Cr7Ta6Ti6V7W6C32,-638.112,633.29,1.06%,2.04%,0.22%
CrTaTiVZr,20.78906,494.067,122.82,148.794,246.569,163.5258,161.6209,162.5733,399.8424,0.229729,21.06395,0.005859,331.9961,0.659342,-19.3726,0.024624,Cr7Ta6Ti6V7Zr6C32,-619.922,665.25,1.90%,1.77%,0.20%
CrTaVWZr,21.08375,498.299,139.234,139.965,258.9223,155.792,153.4968,154.6444,386.9053,0.250952,18.16919,0.007421,332.5905,0.597262,-20.0636,0.029783,Cr7Ta6V6W7Zr6C32,-642.034,674.68,1.91%,1.89%,0.29%
CrTiVWZr,20.61063,451.507,143.943,144.654,246.4643,148.3052,148.172,148.2386,370.4462,0.249493,17.77408,0.000449,316.4994,0.601461,-19.447,0.02981,Cr7Ti6V6W7Zr6C32,-622.305,659.54,1.74%,1.57%,0.15%
